Key,English,SC
ResStr_VirtualOperationPanel,Virtual Operation Panel,虚拟操作面板
ResStr_Print,Print,打印
ResStr_Copy,Copy,复印
ResStr_Scan,Scan,扫描
ResStr_Setting,Setting,设置
ResStr_Model,Model:,机型:
ResStr_Device_Status,Device Status,设备状态
ResStr_Ready,Ready,待机
ResStr_Busy,Busy,工作中
ResStr_Sleep,Sleep,休眠
ResStr_Warning,Warning,告警
ResStr_Error,Error,错误
ResStr_Offline,Offline,离线
ResStr_Toner,Toner,碳粉容量
ResStr_Printing,Printing,打印中
ResStr_WarmingUp,WarmingUp,预热
ResStr_Print_Cancelling,Print Cancelling,打印取消
ResStr_Processing,Processing,正在处理中
ResStr_Copying,Copying,复印中
ResStr_Place_Next_Page,Place Next Page,放置下一页
ResStr_Turn_card_over_to_copy_the_reverse_,Turn card over to copy the reverse.,翻转卡片，并放在扫描板上
ResStr_Copy_Cancelling,Copy Cancelling,复印取消
ResStr_ID_Card_Mode,ID Card Mode,身份证复印模式
ResStr_Scanning,Scanning,扫描中
ResStr_Scan_Cancelling,Scan Cancelling,扫描取消
ResStr_Scanner_Busy,Scanner Busy,扫描仪工作中
ResStr_Toner_End,Toner End,碳粉空
ResStr_Toner_Near_End,Toner Near End,碳粉快使用完毕
ResStr_Waiting_2nd_pages_when_print_manual_duplex_job,Waiting 2nd pages when print manual duplex job,手动双面打印中等待第二页
ResStr_Paper_Jam__Paper_Remained,Paper Jam: Paper Remained,卡纸JAM
ResStr_Paper_Jam__Nofeed,Paper Jam: Nofeed,缺纸JAM
ResStr_Paper_Jam__Regist,Paper Jam: Regist,Regist处卡纸JAM
ResStr_Paper_Jam__Exit,Paper Jam: Exit,排纸口出卡纸JAM
ResStr_Cover_Open,Cover Open,打开上盖
ResStr_No_Toner_Cartridge,No Toner Cartridge,缺少硒鼓碳粉组件
ResStr_Please_Replace_Toner,Please Replace Toner,请更换硒鼓
ResStr_FW_Updating,FW Updating,固件升级
ResStr_Overheat,Overheat,过热
ResStr_Print_Data_Error_SCxxx,"Print Data Error:
SCxxx","打印数据错误
SCxxx"
ResStr_Turn_off_the_printer__and_turn_it_on_again_Contact_customer_support_if_this_failure_is_repeated_SCxxx,"Turn off the printer, and turn it on again.
Contact customer support if this failure is repeated:
SCxxx
","请关闭打印机后重新启动。如果该错误仍未解除请联系您的客户支持：
SCxxx"
ResStr_Please_contact_customer_support__SCxxx,Please contact customer support: SCxxx,"请联系您的客户支持：
SCxxx"
ResStr_anner_not_found_home_position_Turn_off_the_printer__and_turn_it_on_again_Contact_customer_support_if_this_failure_is_repeated_SC1001,"Scanner not found home position;
Turn off the printer, and turn it on again.
Contact customer support if this failure is repeated:
SC1001
","扫描起始位置未发现：
请关闭打印机后重新启动。如果该错误仍未解除请联系您的客户支持：
SC1001"
ResStr_Scan_Calibration_Error_Turn_off_the_printer__and_turn_it_on_again_Contact_customer_support_if_this_failure_is_repeated_SC1001,"Scan Calibration Error;
Turn off the printer, and turn it on again.
Contact customer support if this failure is repeated:
SC1001
","扫描校准错误：
请关闭打印机后重新启动。如果该错误仍未解除请联系您的客户支持：
SC1001"
ResStr_Wireless_Dongle_Config_Fail_Turn_off_the_printer__and_turn_it_on_again_Contact_customer_support_if_this_failure_is_repeated_SCxxx,"Wireless Dongle Config Fail;
Turn off the printer, and turn it on again.
Contact customer support if this failure is repeated:
SCxxx","无线模块配置失败；
请关闭打印机后重新启动。如果该错误仍未解除请联系您的客户支持:
SCxxx"
ResStr_Picture_Print,Picture Print,图片打印
ResStr_File_Print,File Print,文件打印
ResStr_Credentials_Print,Credentials Print,证件打印
ResStr_Certificate_Type,Certificate Type,证件类型
ResStr_Residence_Booklet,Residence Booklet,户口本
